ID,父ID,数据类型,数据地区,数据所属菜单,数据来源,数据描述,日期,更新时间,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012037593202487297,2012037588806856705,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-01,Tue Jan 20 11:08:49 CST 2026,,15040.00,15033.00,15029.00,15023.00,14928.00,14659.00,14393.00,14129.00,14130.00,13868.00,13550.00,13555.00,12546.00,12056.00,12062.00,12068.00,12075.00,12080.00,12083.00,12089.00,12070.00,12365.00,12664.00,12961.00,13070.00,13396.00,13811.00,14623.00,15539.00,16751.00,16874.00,16764.00,16799.00,16832.00,16873.00,16669.00,16380.00,16075.00,15775.00,15565.00,15597.00,14613.00,13396.00,12278.00,11561.00,11575.00,11598.00,11612.00,11633.00,12087.00,12543.00,12835.00,13172.00,13212.00,13258.00,13297.00,13349.00,13550.00,14226.00,14896.00,15745.00,16104.00,16626.00,16983.00,16957.00,16918.00,17541.00,17862.00,19118.00,19938.00,20608.00,21045.00,21312.00,21619.00,21930.00,22242.00,22551.00,22550.00,22552.00,22551.00,22553.00,22587.00,22626.00,22588.00,22139.00,20977.00,19792.00,18461.00,18526.00,17922.00,17396.00,16871.00,16335.00,16325.00,16201.00,16078.00
2012037706297700353,2012037701918846978,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-02,Tue Jan 20 11:09:16 CST 2026,,15773.00,15766.00,15672.00,15576.00,15307.00,15039.00,14776.00,14688.00,14691.00,14457.00,14227.00,13975.00,13981.00,13980.00,13982.00,13986.00,13990.00,13994.00,13996.00,13999.00,14231.00,14757.00,15283.00,15831.00,16360.00,16739.00,17123.00,17342.00,17697.00,17814.00,17855.00,17709.00,17744.00,17776.00,17806.00,17589.00,17287.00,16935.00,16586.00,15804.00,14869.00,13423.00,11985.00,11089.00,10101.00,10126.00,10155.00,10182.00,10215.00,10737.00,11260.00,11791.00,12315.00,12374.00,12439.00,12734.00,13726.00,14567.00,15411.00,16247.00,16856.00,17214.00,17569.00,17964.00,17938.00,17928.00,18833.00,20152.00,21314.00,22051.00,22722.00,22986.00,23253.00,23563.00,23871.00,24180.00,24491.00,24490.00,24490.00,24489.00,24490.00,24523.00,24559.00,24350.00,23896.00,22746.00,21567.00,20260.00,19545.00,18843.00,18254.00,17669.00,17185.00,16912.00,16639.00,16367.00
2012039789902151682,2012039785577824258,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-03,Tue Jan 20 11:09:44 CST 2026,,15914.00,15907.00,15813.00,15717.00,15448.00,15179.00,14917.00,14829.00,14831.00,14599.00,14369.00,14115.00,14122.00,14121.00,14124.00,14124.00,14129.00,14132.00,14133.00,14136.00,14367.00,14895.00,15423.00,15971.00,16500.00,16902.00,17309.00,17551.00,17929.00,18046.00,18087.00,17977.00,18012.00,18044.00,18083.00,17876.00,17584.00,17241.00,16902.00,16128.00,15191.00,13743.00,12302.00,11402.00,10407.00,10433.00,10456.00,10479.00,10508.00,11025.00,11539.00,12052.00,12552.00,12599.00,12656.00,12963.00,13970.00,14925.00,15880.00,16829.00,17544.00,17902.00,18257.00,18616.00,18590.00,18580.00,19486.00,20804.00,21966.00,22703.00,23375.00,23638.00,23905.00,24215.00,24523.00,24832.00,25143.00,25142.00,25142.00,25141.00,25142.00,25175.00,25211.00,25001.00,24547.00,23397.00,22218.00,20911.00,20196.00,19494.00,18905.00,18320.00,17836.00,17394.00,16953.00,16512.00
2012039902347247618,2012039898022920193,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-04,Tue Jan 20 11:10:15 CST 2026,,15089.00,14586.00,14050.00,13783.00,13011.00,12827.00,12827.00,12590.00,12233.00,12233.00,11731.00,11731.00,11466.00,11228.00,11227.00,11226.00,11228.00,11227.00,11226.00,11226.00,11702.00,12441.00,13235.00,13704.00,14488.00,15138.00,15616.00,16484.00,17489.00,17962.00,18091.00,17987.00,18022.00,18054.00,18093.00,17886.00,17595.00,17252.00,17055.00,17044.00,17038.00,16514.00,15998.00,15577.00,15061.00,15072.00,15084.00,15095.00,15109.00,15610.00,16110.00,16611.00,17113.00,17150.00,17189.00,17225.00,17268.00,17330.00,17395.00,17455.00,17840.00,18103.00,18445.00,19178.00,19464.00,19942.00,20157.00,20541.00,21408.00,22075.00,22794.00,23232.00,23724.00,24246.00,24872.00,25181.00,25492.00,25407.00,25232.00,25231.00,25232.00,25042.00,24137.00,24171.00,23753.00,23086.00,21666.00,21051.00,20483.00,19889.00,19297.00,18611.00,17797.00,17361.00,16925.00,16491.00
2012040014372913153,2012040010056974338,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-05,Tue Jan 20 11:10:43 CST 2026,,15711.00,15533.00,15268.00,15003.00,14740.00,14398.00,14055.00,13201.00,12695.00,12198.00,11973.00,11985.00,12003.00,12009.00,12017.00,12026.00,12040.00,12047.00,12060.00,12068.00,12054.00,12359.00,12826.00,13772.00,14944.00,16245.00,17310.00,17552.00,17931.00,18048.00,18089.00,17983.00,18023.00,18055.00,18094.00,17887.00,17595.00,17252.00,17055.00,17044.00,17038.00,16514.00,15998.00,14368.00,12880.00,12897.00,12912.00,12927.00,12945.00,13449.00,13957.00,14461.00,14967.00,15007.00,15052.00,15093.00,15142.00,16154.00,17394.00,17454.00,17839.00,18101.00,18362.00,18606.00,18956.00,20061.00,21476.00,21943.00,22601.00,23093.00,23359.00,23622.00,23891.00,24201.00,24509.00,25030.00,25436.00,25435.00,25435.00,25434.00,25435.00,25293.00,25085.00,24231.00,23578.00,22198.00,21323.00,20739.00,20483.00,19791.00,18987.00,18396.00,17793.00,17357.00,16921.00,16486.00
2012040170682040322,2012040166298992642,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-06,Tue Jan 20 11:11:10 CST 2026,,15710.00,15529.00,15268.00,15002.00,14738.00,14653.00,14311.00,13461.00,12704.00,11952.00,11731.00,11741.00,11759.00,12029.00,12039.00,12045.00,12058.00,12066.00,12080.00,12091.00,12077.00,12376.00,13094.00,14034.00,14948.00,16245.00,17310.00,17552.00,17931.00,18048.00,18089.00,17983.00,18023.00,18055.00,18094.00,17887.00,17595.00,17252.00,17055.00,17044.00,17038.00,16514.00,15998.00,14373.00,13133.00,13149.00,13163.00,13176.00,13192.00,13695.00,14428.00,14930.00,15436.00,15475.00,15518.00,15558.00,15606.00,16155.00,17395.00,17455.00,17840.00,18102.00,18363.00,18607.00,18957.00,20062.00,21477.00,21944.00,22602.00,23094.00,23360.00,23623.00,23892.00,24202.00,24510.00,25031.00,25437.00,25436.00,25436.00,25435.00,25436.00,25292.00,25084.00,24228.00,23574.00,22194.00,21549.00,20965.00,20480.00,19791.00,18987.00,18396.00,17793.00,17357.00,16921.00,16486.00
2012040282300858369,2012040277997502466,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-07,Tue Jan 20 11:11:37 CST 2026,,15713.00,15442.00,15180.00,14914.00,14920.00,14748.00,14503.00,13979.00,13406.00,12905.00,12678.00,12684.00,12698.00,12695.00,12697.00,12693.00,12694.00,12699.00,12706.00,12713.00,12690.00,12993.00,13543.00,14009.00,14511.00,15896.00,17043.00,17362.00,17818.00,18005.00,18119.00,17998.00,18020.00,18099.00,18181.00,18021.00,17777.00,17434.00,17237.00,17226.00,17220.00,16480.00,14701.00,13501.00,12944.00,12959.00,12976.00,12990.00,13011.00,13528.00,14042.00,14558.00,15075.00,15152.00,15228.00,15303.00,15385.00,15618.00,15685.00,16461.00,18022.00,18261.00,18588.00,18899.00,19317.00,20399.00,21631.00,21989.00,22553.00,23060.00,23339.00,23617.00,23899.00,24206.00,24513.00,25031.00,25435.00,25350.00,25350.00,25349.00,25350.00,25196.00,24962.00,24178.00,23595.00,22298.00,21723.00,21059.00,20491.00,19797.00,18989.00,18398.00,17795.00,17381.00,16968.00,16556.00
2012040419664314370,2012040415348375553,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-08,Tue Jan 20 11:12:05 CST 2026,,15984.00,15806.00,15542.00,15276.00,15014.00,14926.00,14678.00,14337.00,13763.00,13259.00,12765.00,12775.00,12787.00,12782.00,12784.00,12780.00,12783.00,12786.00,12792.00,12800.00,12779.00,13079.00,13377.00,13676.00,14347.00,15897.00,17205.00,17608.00,17981.00,18085.00,18117.00,17996.00,18018.00,18097.00,18179.00,18019.00,17775.00,17432.00,17235.00,17224.00,17050.00,16478.00,14701.00,13501.00,12944.00,12958.00,12977.00,12990.00,13010.00,13526.00,14040.00,14556.00,15072.00,15149.00,15225.00,15300.00,15382.00,15615.00,15682.00,16458.00,18020.00,18259.00,18503.00,18730.00,18864.00,19663.00,21048.00,21805.00,22536.00,23112.00,23391.00,23669.00,23951.00,24258.00,24565.00,25083.00,25487.00,25486.00,25486.00,25485.00,25486.00,25332.00,25181.00,24731.00,23865.00,22685.00,21636.00,20976.00,20491.00,19796.00,18988.00,18397.00,17794.00,17380.00,16967.00,16555.00
2012040531933249537,2012040527571173378,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-09,Tue Jan 20 11:12:32 CST 2026,,16270.00,16268.00,16179.00,15816.00,15282.00,14781.00,14123.00,13372.00,13037.00,12793.00,12802.00,12810.00,12823.00,12822.00,12824.00,12821.00,12827.00,12834.00,12840.00,12847.00,12830.00,13131.00,13432.00,14316.00,14988.00,16188.00,17317.00,17895.00,18268.00,18372.00,18404.00,18283.00,18305.00,18384.00,18466.00,18259.00,18110.00,17767.00,17475.00,17463.00,16572.00,15832.00,14785.00,14318.00,13757.00,13770.00,13781.00,13793.00,13811.00,14326.00,14838.00,15353.00,15867.00,15944.00,16018.00,16090.00,16169.00,16400.00,16632.00,16931.00,17288.00,18142.00,18804.00,18770.00,18953.00,19799.00,21233.00,21990.00,22721.00,23298.00,23577.00,23856.00,24136.00,24443.00,24962.00,25363.00,25672.00,25671.00,25671.00,25670.00,25671.00,25517.00,25366.00,24916.00,24050.00,22821.00,21724.00,21016.00,20531.00,19931.00,19240.00,18437.00,17734.00,17347.00,16963.00,16578.00
2012040694458335234,2012040690100453378,出清发布电力(MW),华东,江苏省交易中心数据-受电计划,,,2026-01-10,Tue Jan 20 11:13:02 CST 2026,,16272.00,16270.00,16180.00,15817.00,15552.00,14783.00,14125.00,13374.00,13039.00,12794.00,12804.00,12812.00,12826.00,12825.00,12824.00,12823.00,12828.00,12834.00,12841.00,12847.00,12831.00,13131.00,13434.00,14317.00,15234.00,16192.00,17324.00,17904.00,18279.00,18383.00,18411.00,18291.00,18314.00,18393.00,18481.00,18275.00,18125.00,17779.00,17484.00,17039.00,16575.00,15838.00,14788.00,14322.00,13762.00,13773.00,13785.00,13800.00,13815.00,14318.00,14818.00,15320.00,15827.00,15901.00,15977.00,16049.00,16129.00,16370.00,16611.00,16926.00,17291.00,18395.00,18807.00,18772.00,18780.00,19627.00,21061.00,21818.00,22548.00,23300.00,23579.00,23858.00,24139.00,24446.00,24964.00,25365.00,25674.00,25673.00,25673.00,25672.00,25673.00,25694.00,25543.00,25092.00,24226.00,22997.00,21724.00,21020.00,20535.00,19934.00,19240.00,18437.00,17734.00,17347.00,16963.00,16578.00
