ID,父ID,数据类型,数据地区,数据所属菜单,数据来源,数据描述,日期,更新时间,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012044726228848642,2012044702795272193,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-01,Fri Jul 03 15:05:56 CST 2026,,7.43,7.43,7.4,7.4,7.34,7.44,7.35,7.39,7.35,7.34,7.01,7.19,7.46,7.43,7.37,7.1,7.28,7.47,7.41,7.4,7.33,7.35,7.34,7.47,7.41,7.44,7.33,7.45,13.14,79.29,216.8,353.07,498.45,699.3,985.86,1288.88,1546.38,1883.8,2284.47,2608.78,2946.91,3311.77,3704.31,4002.42,4288.74,4321.5,4261.4,4426.11,4762.85,4839.62,4760.73,4659.46,4686.73,4273.76,4269.55,4097.12,3910.61,3704.36,3516.68,3041.96,2668.16,2101.23,1703.28,1343.93,865.86,537.67,246.24,55.23,9.22,7.35,7.88,7.98,8.23,8.32,8.3,8.23,8.2,8.13,8.19,8.28,8.26,8.1,8.04,8.08,8.11,8.16,8.17,8.22,8.17,8.0,8.14,8.22,8.2,8.12,8.14,7.77
2012044818981687298,2012044795531333634,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-02,Fri Jul 03 15:06:04 CST 2026,,7.72,8.16,7.97,8.15,7.47,7.53,8.04,7.94,8.05,8.19,8.02,8.0,7.7,7.97,8.16,8.18,8.14,8.21,8.23,8.09,8.22,8.19,7.86,8.19,8.29,8.2,8.26,12.43,105.3,378.97,696.92,1085.28,1749.12,2480.27,3189.82,4190.83,5124.86,5633.6,5813.22,5987.29,6657.04,7327.78,7424.41,6827.59,7393.78,8031.77,7702.22,8097.75,8330.69,8262.58,8315.23,7833.3,7510.28,7215.59,7013.39,6908.41,6982.13,6605.89,6405.86,5876.88,4993.88,3718.37,2845.99,2141.75,1358.91,760.0,360.93,100.12,9.52,5.3,6.33,6.5,6.85,6.9,6.81,6.83,6.74,6.66,6.5,6.68,6.58,6.64,6.32,6.55,6.37,6.57,6.56,6.37,6.33,6.2,6.25,6.66,6.54,6.62,6.24,6.64
2012044896161075201,2012044871829917697,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-03,Fri Jul 03 15:06:13 CST 2026,,6.23,6.55,6.29,6.31,6.37,6.57,6.44,6.35,6.32,6.22,6.38,6.38,6.45,6.34,6.4,6.29,6.4,6.42,6.26,6.36,6.47,6.28,6.23,6.53,6.62,6.66,6.76,13.87,132.04,425.97,831.12,1354.59,2080.91,2949.24,3918.46,5345.98,6304.02,7186.86,7969.14,8683.39,9301.89,9755.01,9935.47,9910.58,10297.6,10551.1,10964.3,11164.3,11219.7,11175.0,11106.1,10895.8,10644.5,10316.7,9908.98,9487.25,8854.02,8283.53,7530.76,6676.54,5480.1,4054.35,3066.46,2277.16,1419.99,784.39,372.69,103.05,9.34,6.67,6.91,7.2,7.59,7.54,7.51,7.51,7.53,7.32,7.28,7.35,7.21,7.16,7.24,7.28,7.12,7.24,7.17,7.19,7.18,7.15,7.15,7.25,7.16,7.2,7.2,7.22
2012044976087732226,2012044952972922882,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-04,Fri Jul 03 15:06:21 CST 2026,,7.29,7.22,7.15,7.22,7.22,7.2,7.21,7.18,7.18,7.22,7.23,7.2,7.11,7.15,7.2,7.28,7.22,7.23,7.22,7.21,7.22,7.26,7.24,7.36,7.28,7.33,7.02,11.15,58.89,179.23,329.88,486.58,666.36,860.62,1017.49,1111.79,1343.18,1463.53,1581.41,1749.78,1911.11,2072.13,2281.78,2336.65,2434.32,2601.38,2539.55,2433.34,2399.41,2411.8,2276.38,2044.89,1961.19,1737.3,1603.74,1493.81,1296.52,1127.93,982.71,839.31,717.63,580.32,468.98,351.62,256.86,126.66,51.29,9.98,6.38,6.41,7.31,7.39,7.33,7.33,7.34,7.26,7.36,7.25,7.29,7.35,7.32,7.3,7.34,7.25,7.29,7.23,7.36,7.24,7.23,7.29,7.22,7.19,7.27,7.14,7.26,7.31
2012045051912359937,2012045028495560705,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-05,Fri Jul 03 15:06:29 CST 2026,,6.73,6.58,6.77,6.78,7.25,6.76,7.23,6.53,6.82,6.72,6.75,6.78,7.2,6.58,6.81,7.01,7.25,6.71,6.75,6.67,6.76,6.87,7.24,6.79,6.79,7.2,6.73,7.67,17.44,102.99,302.8,561.31,853.9,1207.6,1574.97,2154.68,2802.49,3433.88,4089.5,4474.67,4984.49,5348.94,5643.32,6166.26,6472.57,6786.64,6864.51,7059.72,7375.93,7541.06,7742.79,7767.34,7645.77,7500.49,7164.21,6961.95,6542.48,6094.43,5523.18,4885.06,4120.53,3119.91,2409.51,1792.07,1199.19,734.98,366.69,97.43,9.81,6.54,7.23,7.43,7.81,7.74,7.75,7.77,7.71,7.66,7.6,7.67,7.66,7.68,7.65,7.59,7.62,7.54,7.5,7.56,7.34,7.6,7.54,7.58,7.61,7.48,7.55,7.59
2012045128076726274,2012045104693481473,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-06,Fri Jul 03 15:06:37 CST 2026,,7.64,7.61,6.82,7.46,6.75,7.57,7.07,7.59,7.66,7.59,7.52,7.62,7.53,7.63,7.59,7.6,7.65,7.61,7.34,7.56,7.36,7.11,7.61,7.64,7.61,7.67,7.6,12.8,93.12,273.87,484.15,733.15,1027.47,1239.17,1531.32,1975.59,2128.6,2324.96,2580.58,2714.13,2845.53,3061.05,3343.85,3443.03,3726.45,3808.61,3783.55,3695.29,3569.36,3697.0,4009.21,4243.1,4275.6,4369.28,3985.51,4048.05,3761.0,3517.75,3332.32,3142.61,2648.95,2421.4,1997.84,1549.3,1092.69,711.07,399.11,131.12,9.75,5.36,6.44,6.63,6.83,6.93,6.98,6.98,6.95,6.92,6.86,6.85,6.87,6.89,6.88,6.69,6.91,6.83,6.87,6.8,6.93,6.74,6.88,6.8,6.74,6.7,6.83,6.42
2012045203565809665,2012045180534886402,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-07,Fri Jul 03 15:06:45 CST 2026,,6.47,6.84,6.82,6.91,6.82,6.79,6.85,6.74,6.75,6.78,6.73,6.83,6.83,6.81,6.83,5.96,6.83,6.94,6.55,6.84,6.87,6.73,6.71,6.89,6.92,6.82,6.84,11.67,137.57,454.27,854.09,1417.64,2108.81,3023.87,4058.09,5374.04,6371.92,7254.03,8105.26,8810.7,9456.73,10027.6,10453.7,10532.4,11099.7,11190.8,11232.8,10906.5,11168.9,11530.4,11439.3,11131.5,10995.0,10645.1,10223.4,9762.0,9139.96,8476.54,7691.77,6807.75,5771.07,4436.15,3281.68,2428.08,1672.33,918.98,481.55,148.4,11.99,5.69,6.41,6.82,7.03,7.25,7.23,7.23,7.29,7.26,7.22,6.73,6.63,7.17,7.13,7.16,7.08,7.16,7.08,7.09,7.02,7.09,7.11,7.15,7.13,7.08,6.54,7.13
2012045279398825985,2012045255839420417,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-08,Fri Jul 03 15:06:53 CST 2026,,7.13,7.13,7.09,7.1,7.08,6.74,7.0,7.0,7.02,7.05,7.13,7.02,6.89,7.03,7.09,7.15,7.06,6.99,7.05,7.09,7.0,7.02,7.0,7.05,7.04,7.1,7.08,9.22,115.88,415.14,819.84,1285.78,2012.51,2809.63,3855.57,5143.21,6214.12,7114.96,8005.35,8792.4,9389.52,9994.87,10401.6,10437.8,11065.0,11374.5,11485.9,11298.6,11518.8,11602.9,11453.2,11047.2,10695.1,10385.7,9921.91,9603.78,9055.32,8442.72,7640.12,6883.14,5936.43,4603.18,3385.91,2516.13,1739.07,965.61,510.75,166.57,14.63,5.76,6.09,6.9,7.03,7.0,7.15,6.96,6.93,7.01,6.98,6.94,6.72,7.15,7.17,7.09,7.15,7.11,7.15,7.18,7.13,7.2,7.17,7.12,7.13,7.12,7.13,7.06
2012045355131179010,2012045332024758274,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-09,Fri Jul 03 15:07:02 CST 2026,,7.15,7.07,7.16,7.11,7.06,7.12,7.03,7.11,7.12,7.14,6.22,7.01,7.2,7.11,7.12,6.99,7.02,7.12,7.04,7.09,7.13,7.1,7.12,7.08,7.06,6.98,7.13,14.1,132.17,418.88,803.74,1341.72,2024.43,2925.66,3768.47,4651.37,5355.11,5993.81,6717.5,7634.34,7801.5,7968.56,8395.25,8071.19,7914.62,6924.36,8353.3,8302.45,7947.59,7993.09,8415.3,6967.79,7623.23,7757.43,7109.74,6993.04,5866.4,5693.25,5348.2,5206.43,4671.41,3996.73,3117.78,2400.56,1717.1,975.15,523.28,185.19,17.71,6.41,6.69,7.33,7.53,7.65,7.66,7.59,7.59,7.59,7.55,7.6,7.53,7.55,7.55,7.56,7.54,7.59,7.55,7.56,7.58,7.57,7.64,7.58,7.61,7.56,7.58,7.57
2012045430968389633,2012045407564173314,实际发布电力(MW),汇总,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-10,Fri Jul 03 15:07:10 CST 2026,,7.58,7.58,7.69,7.61,7.67,7.66,7.67,7.62,7.64,7.68,7.64,7.63,7.66,7.59,7.66,7.65,7.62,7.63,7.63,7.62,7.6,7.57,7.59,7.64,7.64,7.58,7.7,12.22,125.55,424.09,818.1,1316.59,1954.29,2847.14,3872.0,4999.71,5912.17,6184.32,6709.94,7102.68,6468.92,7694.01,8097.78,7520.24,7697.41,7097.34,7001.85,6767.19,6670.0,7635.55,7031.3,7177.28,6237.74,5843.66,5905.9,5867.79,5747.38,5220.21,4367.67,3776.99,3170.31,2930.02,2543.89,1965.17,1449.54,914.31,522.71,165.81,16.33,8.27,8.51,9.4,8.97,8.8,8.38,7.52,7.58,7.52,7.55,7.46,7.59,7.55,7.56,7.53,7.56,7.57,7.53,7.53,7.57,7.51,7.6,7.53,7.59,7.54,7.51,7.51
