ID,父ID,数据类型,数据地区,数据所属菜单,数据来源,数据描述,日期,更新时间,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012044726228848643,2012044698055708673,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-01,Fri Jul 03 15:05:55 CST 2026,,7.29,7.26,7.27,7.25,7.24,7.33,7.25,7.25,7.23,7.22,6.89,7.06,7.3,7.29,7.28,6.95,7.14,7.35,7.3,7.25,7.17,7.21,7.22,7.33,7.29,7.3,7.21,7.31,12.29,71.12,195.61,314.39,439.33,614.45,880.81,1168.97,1418.09,1732.01,2107.22,2419.68,2748.02,3079.88,3470.96,3751.29,4033.79,4076.42,4014.85,4178.11,4520.68,4613.32,4517.84,4439.31,4487.65,4102.05,4113.42,3954.07,3775.11,3583.59,3405.14,2935.74,2588.05,2037.83,1645.43,1304.94,846.16,530.56,244.1,55.18,9.16,7.26,7.78,7.86,8.17,8.26,8.26,8.14,8.09,8.06,8.07,8.19,8.17,8.02,7.94,7.98,8.02,8.07,8.07,8.12,8.06,7.92,8.06,8.11,8.07,8.03,8.06,7.67
2012044818981687299,2012044790909210626,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-02,Fri Jul 03 15:06:03 CST 2026,,7.62,8.08,7.87,8.03,7.4,7.44,7.93,7.81,7.95,8.08,7.92,7.89,7.6,7.87,8.06,8.07,8.04,8.15,8.12,8.0,8.16,8.12,7.75,8.09,8.16,8.11,8.17,12.0,90.34,331.19,615.01,949.14,1541.73,2192.56,2817.53,3721.21,4566.78,5071.53,5170.67,5273.92,5818.87,6448.89,6482.91,5865.3,6347.55,7007.47,6865.07,7199.62,7213.99,7169.45,7276.38,6790.74,6484.1,6226.48,6040.56,5982.46,6103.46,5798.55,5661.72,5208.15,4426.65,3307.15,2530.18,1907.54,1203.47,675.92,323.41,91.11,9.43,5.3,6.27,6.44,6.81,6.87,6.72,6.8,6.69,6.61,6.44,6.65,6.51,6.64,6.26,6.49,6.3,6.55,6.5,6.3,6.29,6.15,6.19,6.58,6.49,6.57,6.22,6.59
2012044896161075202,2012044867014856705,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-03,Fri Jul 03 15:06:12 CST 2026,,6.2,6.47,6.25,6.25,6.3,6.51,6.34,6.27,6.27,6.17,6.36,6.34,6.36,6.3,6.36,6.23,6.33,6.36,6.23,6.3,6.41,6.24,6.18,6.47,6.58,6.61,6.71,13.19,115.62,380.21,742.74,1206.45,1860.7,2617.68,3473.62,4781.64,5653.26,6427.72,7128.96,7754.49,8304.79,8715.18,8836.01,8770.85,9117.42,9381.76,9775.34,9959.77,10015.74,9986.77,9919.06,9726.27,9510.82,9221.19,8854.82,8485.52,7924.03,7428.77,6750.12,5979.38,4905.58,3627.37,2749.37,2041.83,1261.12,695.05,331.06,92.19,9.22,6.69,6.82,7.14,7.48,7.47,7.41,7.43,7.42,7.24,7.21,7.26,7.09,7.07,7.17,7.17,7.04,7.17,7.1,7.09,7.07,7.07,7.08,7.15,7.09,7.1,7.11,7.13
2012044976154841090,2012044948346605569,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-04,Fri Jul 03 15:06:20 CST 2026,,7.18,7.15,7.07,7.12,7.11,7.08,7.11,7.06,7.1,7.12,7.11,7.09,7.01,7.05,7.1,7.17,7.1,7.14,7.13,7.13,7.12,7.16,7.14,7.24,7.18,7.21,6.92,11.03,58.05,176.15,314.12,456.05,624.13,798.55,929.6,1005.6,1207.08,1307.9,1393.88,1552.47,1691.72,1841.61,2034.05,2089.66,2195.12,2355.09,2327.34,2219.9,2227.44,2242.65,2114.22,1905.4,1840.59,1651.61,1517.11,1385.23,1213.18,1049.95,910.65,767.75,663.71,531.75,429.08,316.79,232.12,117.84,50.61,9.82,6.31,6.38,7.26,7.32,7.33,7.33,7.31,7.25,7.3,7.25,7.29,7.32,7.25,7.26,7.28,7.21,7.26,7.19,7.31,7.2,7.17,7.23,7.18,7.17,7.22,7.11,7.21,7.26
2012045051912359938,2012045023844077570,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-05,Fri Jul 03 15:06:28 CST 2026,,6.69,6.53,6.75,6.74,7.21,6.73,7.19,6.49,6.77,6.69,6.72,6.74,7.16,6.53,6.76,6.99,7.2,6.67,6.73,6.64,6.74,6.81,7.2,6.73,6.74,7.15,6.7,7.63,17.36,99.82,284.25,523.73,789.51,1109.92,1437.04,1949.19,2569.39,3173.19,3808.57,4190.05,4668.93,5008.04,5294.0,5782.28,6028.08,6307.64,6355.15,6527.78,6761.79,6891.41,7116.54,7149.33,6998.95,6907.07,6595.08,6444.34,6044.41,5635.19,5124.34,4518.19,3806.22,2885.58,2220.46,1653.67,1099.38,667.32,335.76,90.53,9.6,6.41,7.08,7.27,7.64,7.61,7.62,7.63,7.57,7.5,7.49,7.53,7.5,7.54,7.49,7.44,7.49,7.41,7.37,7.4,7.18,7.44,7.39,7.42,7.46,7.34,7.4,7.44
2012045128076726275,2012045099651928066,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-06,Fri Jul 03 15:06:36 CST 2026,,7.46,7.44,6.63,7.29,6.6,7.43,6.9,7.44,7.48,7.39,7.38,7.48,7.36,7.46,7.44,7.43,7.49,7.45,7.17,7.37,7.22,6.96,7.43,7.48,7.44,7.52,7.45,12.49,83.29,231.91,401.46,633.73,901.84,1090.48,1356.99,1787.99,1893.75,2038.9,2281.96,2386.17,2440.24,2647.41,2923.02,2969.64,3274.47,3389.32,3365.92,3311.04,3221.6,3409.31,3681.65,3960.43,4006.14,4068.99,3733.51,3804.97,3520.07,3293.54,3104.69,2930.22,2450.5,2226.7,1838.89,1429.15,1007.02,652.49,365.96,116.56,9.61,5.35,6.29,6.51,6.77,6.84,6.9,6.9,6.85,6.82,6.76,6.81,6.79,6.78,6.79,6.59,6.78,6.69,6.78,6.68,6.77,6.58,6.74,6.67,6.65,6.58,6.73,6.32
2012045203565809666,2012045175879208962,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-07,Fri Jul 03 15:06:44 CST 2026,,6.33,6.73,6.72,6.79,6.71,6.68,6.73,6.61,6.62,6.67,6.63,6.73,6.71,6.68,6.7,5.84,6.72,6.81,6.43,6.7,6.75,6.62,6.61,6.78,6.77,6.69,6.72,11.14,119.53,398.08,763.99,1265.4,1879.42,2691.77,3604.84,4797.7,5695.54,6475.1,7244.9,7858.53,8430.94,8948.97,9336.71,9436.61,9906.77,9983.2,9993.25,9684.67,9927.61,10299.9,10218.04,9956.41,9833.38,9530.62,9154.15,8761.65,8207.83,7629.49,6912.08,6118.99,5179.93,3979.76,2951.96,2180.9,1496.42,818.74,429.32,131.55,11.36,5.58,6.25,6.72,6.96,7.17,7.16,7.15,7.22,7.17,7.12,6.65,6.57,7.07,7.07,7.07,6.99,7.05,6.97,7.0,6.93,7.01,7.05,7.06,7.04,6.97,6.47,7.03
2012045279398825986,2012045251120828417,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-08,Fri Jul 03 15:06:52 CST 2026,,7.04,7.01,6.99,7.04,6.99,6.68,6.92,6.93,6.96,6.92,7.05,6.95,6.79,6.93,6.98,7.03,6.97,6.9,6.94,6.99,6.91,6.94,6.93,6.97,6.97,7.01,6.99,8.87,100.46,362.87,731.47,1146.52,1799.51,2517.3,3447.89,4629.77,5616.51,6431.81,7235.63,7951.47,8485.23,9041.58,9397.67,9406.28,9992.61,10276.14,10373.06,10168.2,10392.75,10494.91,10350.82,9978.3,9674.01,9415.62,9026.53,8735.38,8266.19,7711.51,6985.09,6300.63,5450.07,4219.66,3085.28,2292.12,1578.51,866.64,456.57,150.18,14.13,5.71,5.91,6.74,6.91,6.9,7.03,6.83,6.83,6.91,6.88,6.83,6.59,7.04,7.04,7.0,7.06,7.0,7.07,7.06,7.0,7.09,6.99,6.98,6.97,7.0,7.0,6.9
2012045355198287874,2012045327243251714,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-09,Fri Jul 03 15:07:01 CST 2026,,7.01,6.92,6.99,6.99,6.93,7.0,6.93,7.01,6.96,6.99,6.1,6.87,7.04,7.0,7.01,6.84,6.89,7.01,6.9,6.95,6.99,6.96,6.98,6.93,6.93,6.88,6.98,13.39,117.7,387.43,718.98,1206.5,1823.61,2638.28,3381.04,4135.07,4792.58,5333.58,5962.13,6792.52,6875.95,7086.98,7383.07,7092.47,6843.75,5799.32,7322.84,7165.68,6747.41,6794.97,7251.83,5807.37,6484.79,6638.64,6051.36,5987.55,4969.87,4912.11,4656.94,4549.19,4150.97,3596.27,2821.15,2182.82,1566.39,872.22,459.84,164.16,17.01,6.39,6.44,7.1,7.37,7.41,7.45,7.42,7.4,7.41,7.36,7.42,7.36,7.36,7.38,7.4,7.38,7.4,7.38,7.37,7.38,7.39,7.44,7.38,7.44,7.37,7.37,7.38
2012045431035498497,2012045402753306625,实际发布电力(MW),江北分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-10,Fri Jul 03 15:07:09 CST 2026,,7.37,7.37,7.47,7.44,7.45,7.45,7.47,7.42,7.43,7.5,7.44,7.48,7.47,7.43,7.43,7.46,7.43,7.44,7.42,7.43,7.42,7.41,7.4,7.43,7.44,7.39,7.5,11.62,109.01,372.49,729.82,1170.33,1742.56,2524.43,3432.96,4452.91,5266.01,5471.8,5986.48,6376.38,5639.02,6861.5,7199.45,6713.22,6773.17,6264.96,6152.48,5876.23,5765.14,6727.62,6098.07,6201.69,5420.36,4993.21,5154.63,5133.56,5039.3,4594.6,3850.97,3296.99,2707.21,2586.07,2263.86,1763.81,1282.57,822.74,463.81,152.29,15.34,8.31,8.43,9.29,8.9,8.75,8.31,7.47,7.51,7.48,7.47,7.45,7.49,7.48,7.5,7.48,7.49,7.45,7.42,7.42,7.47,7.43,7.48,7.48,7.51,7.42,7.44,7.44
