ID,父ID,数据类型,数据地区,数据所属菜单,数据来源,数据描述,日期,更新时间,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012044726228848644,2012044707476115458,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-01,Fri Jul 03 15:05:57 CST 2026,,0.14,0.17,0.13,0.15,0.1,0.11,0.1,0.14,0.12,0.12,0.12,0.13,0.16,0.14,0.09,0.15,0.14,0.12,0.11,0.15,0.16,0.14,0.12,0.14,0.12,0.14,0.12,0.14,0.85,8.17,21.19,38.68,59.12,84.85,105.05,119.91,128.29,151.79,177.25,189.1,198.89,231.89,233.35,251.13,254.95,245.08,246.55,248.0,242.17,226.3,242.89,220.15,199.08,171.71,156.13,143.05,135.5,120.77,111.54,106.22,80.11,63.4,57.85,38.99,19.7,7.11,2.14,0.05,0.06,0.09,0.1,0.12,0.06,0.06,0.04,0.09,0.11,0.07,0.12,0.09,0.09,0.08,0.1,0.1,0.09,0.09,0.1,0.1,0.11,0.08,0.08,0.11,0.13,0.09,0.08,0.1
2012044818981687300,2012044800233148417,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-02,Fri Jul 03 15:06:05 CST 2026,,0.1,0.08,0.1,0.12,0.07,0.09,0.11,0.13,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.06,0.11,0.09,0.06,0.07,0.11,0.1,0.13,0.09,0.09,0.43,14.96,47.78,81.91,136.14,207.39,287.71,372.29,469.62,558.08,562.07,642.55,713.37,838.17,878.89,941.5,962.29,1046.23,1024.3,837.15,898.13,1116.7,1093.13,1038.85,1042.56,1026.18,989.11,972.83,925.95,878.67,807.34,744.14,668.73,567.23,411.22,315.81,234.21,155.44,84.08,37.52,9.01,0.09,0.0,0.06,0.06,0.04,0.03,0.09,0.03,0.05,0.05,0.06,0.03,0.07,0.0,0.06,0.06,0.07,0.02,0.06,0.07,0.04,0.05,0.06,0.08,0.05,0.05,0.02,0.05
2012044896161075203,2012044876535926786,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-03,Fri Jul 03 15:06:14 CST 2026,,0.03,0.08,0.04,0.06,0.07,0.06,0.1,0.08,0.05,0.05,0.02,0.04,0.09,0.04,0.04,0.06,0.07,0.06,0.03,0.06,0.06,0.04,0.05,0.06,0.04,0.05,0.05,0.68,16.42,45.76,88.38,148.14,220.21,331.56,444.84,564.34,650.76,759.14,840.18,928.9,997.1,1039.83,1099.46,1139.73,1180.18,1169.34,1188.96,1204.53,1203.96,1188.23,1187.04,1169.53,1133.68,1095.51,1054.16,1001.73,929.99,854.76,780.64,697.16,574.52,426.98,317.09,235.33,158.87,89.34,41.63,10.86,0.12,-0.02,0.09,0.06,0.11,0.07,0.1,0.08,0.11,0.08,0.07,0.09,0.12,0.09,0.07,0.11,0.08,0.07,0.07,0.1,0.11,0.08,0.07,0.1,0.07,0.1,0.09,0.09
2012044976154841091,2012044957616017409,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-04,Fri Jul 03 15:06:22 CST 2026,,0.11,0.07,0.08,0.1,0.11,0.12,0.1,0.12,0.08,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.12,0.09,0.09,0.08,0.1,0.1,0.1,0.12,0.1,0.12,0.1,0.12,0.84,3.08,15.76,30.53,42.23,62.07,87.89,106.19,136.1,155.63,187.53,197.31,219.39,230.52,247.73,246.99,239.2,246.29,212.21,213.44,171.97,169.15,162.16,139.49,120.6,85.69,86.63,108.58,83.34,77.98,72.06,71.56,53.92,48.57,39.9,34.83,24.74,8.82,0.68,0.16,0.07,0.03,0.05,0.07,0.0,0.0,0.03,0.01,0.06,0.0,0.0,0.03,0.07,0.04,0.06,0.04,0.03,0.04,0.05,0.04,0.06,0.06,0.04,0.02,0.05,0.03,0.05,0.05
2012045051912359939,2012045033214152705,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-05,Fri Jul 03 15:06:30 CST 2026,,0.04,0.05,0.02,0.04,0.04,0.03,0.04,0.04,0.05,0.03,0.03,0.04,0.04,0.05,0.05,0.02,0.05,0.04,0.02,0.03,0.02,0.06,0.04,0.06,0.05,0.05,0.03,0.04,0.08,3.17,18.55,37.58,64.39,97.68,137.93,205.49,233.1,260.69,280.93,284.62,315.56,340.9,349.32,383.98,444.49,479.0,509.36,531.94,614.14,649.65,626.25,618.01,646.82,593.42,569.13,517.61,498.07,459.24,398.84,366.87,314.31,234.33,189.05,138.4,99.81,67.66,30.93,6.9,0.21,0.13,0.15,0.16,0.17,0.13,0.13,0.14,0.14,0.16,0.11,0.14,0.16,0.14,0.16,0.15,0.13,0.13,0.13,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.15
2012045128076726276,2012045109403684865,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-06,Fri Jul 03 15:06:38 CST 2026,,0.18,0.17,0.19,0.17,0.15,0.14,0.17,0.15,0.18,0.2,0.14,0.14,0.17,0.17,0.15,0.17,0.16,0.16,0.17,0.19,0.14,0.15,0.18,0.16,0.17,0.15,0.15,0.31,9.83,41.96,82.69,99.42,125.63,148.69,174.33,187.6,234.85,286.06,298.62,327.96,405.29,413.64,420.83,473.39,451.98,419.29,417.63,384.25,347.76,287.69,327.56,282.67,269.46,300.29,252.0,243.08,240.93,224.21,227.63,212.39,198.45,194.7,158.95,120.15,85.67,58.58,33.15,14.56,0.14,0.01,0.15,0.12,0.06,0.09,0.08,0.08,0.1,0.1,0.1,0.04,0.08,0.11,0.09,0.1,0.13,0.14,0.09,0.12,0.16,0.16,0.14,0.13,0.09,0.12,0.1,0.1
2012045203565809667,2012045185219923969,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-07,Fri Jul 03 15:06:46 CST 2026,,0.14,0.11,0.1,0.12,0.11,0.11,0.12,0.13,0.13,0.11,0.1,0.1,0.12,0.13,0.13,0.12,0.11,0.13,0.12,0.14,0.12,0.11,0.1,0.11,0.15,0.13,0.12,0.53,18.04,56.19,90.1,152.24,229.39,332.1,453.25,576.34,676.38,778.93,860.36,952.17,1025.79,1078.63,1116.99,1095.79,1192.93,1207.6,1239.55,1221.83,1241.29,1230.5,1221.26,1175.09,1161.62,1114.48,1069.25,1000.35,932.13,847.05,779.69,688.76,591.14,456.39,329.72,247.18,175.91,100.24,52.23,16.85,0.63,0.11,0.16,0.1,0.07,0.08,0.07,0.08,0.07,0.09,0.1,0.08,0.06,0.1,0.06,0.09,0.09,0.11,0.11,0.09,0.09,0.08,0.06,0.09,0.09,0.11,0.07,0.1
2012045279398825987,2012045260553818114,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-08,Fri Jul 03 15:06:54 CST 2026,,0.09,0.12,0.1,0.06,0.09,0.06,0.08,0.07,0.06,0.13,0.08,0.07,0.1,0.1,0.11,0.12,0.09,0.09,0.11,0.1,0.09,0.08,0.07,0.08,0.07,0.09,0.09,0.35,15.42,52.27,88.37,139.26,213.0,292.33,407.68,513.44,597.61,683.15,769.72,840.93,904.29,953.29,1003.93,1031.52,1072.39,1098.36,1112.84,1130.4,1126.05,1107.99,1102.38,1068.9,1021.09,970.08,895.38,868.4,789.13,731.21,655.03,582.51,486.36,383.52,300.63,224.01,160.56,98.97,54.18,16.39,0.5,0.05,0.18,0.16,0.12,0.1,0.12,0.13,0.1,0.1,0.1,0.11,0.13,0.11,0.13,0.09,0.09,0.11,0.08,0.12,0.13,0.11,0.18,0.14,0.16,0.12,0.13,0.16
2012045355198287875,2012045336734961666,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-09,Fri Jul 03 15:07:03 CST 2026,,0.14,0.15,0.17,0.12,0.13,0.12,0.1,0.1,0.16,0.15,0.12,0.14,0.16,0.11,0.11,0.15,0.13,0.11,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.1,0.15,0.71,14.47,31.45,84.76,135.22,200.82,287.38,387.43,516.3,562.53,660.23,755.37,841.82,925.55,881.58,1012.18,978.72,1070.87,1125.04,1030.46,1136.77,1200.18,1198.12,1163.47,1160.42,1138.44,1118.79,1058.38,1005.49,896.53,781.14,691.26,657.24,520.44,400.46,296.63,217.74,150.71,102.93,63.44,21.03,0.7,0.02,0.25,0.23,0.16,0.24,0.21,0.17,0.19,0.18,0.19,0.18,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.19,0.2,0.18,0.2,0.2,0.17,0.19,0.21,0.19
2012045431035498498,2012045412337291266,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,光伏,,2026-01-10,Fri Jul 03 15:07:11 CST 2026,,0.21,0.21,0.22,0.17,0.22,0.21,0.2,0.2,0.21,0.18,0.2,0.15,0.19,0.16,0.23,0.19,0.19,0.19,0.21,0.19,0.18,0.16,0.19,0.21,0.2,0.19,0.2,0.6,16.54,51.6,88.28,146.26,211.73,322.71,439.04,546.8,646.16,712.52,723.46,726.3,829.9,832.51,898.33,807.02,924.24,832.38,849.37,890.96,904.86,907.93,933.23,975.59,817.38,850.45,751.27,734.23,708.08,625.61,516.7,480.0,463.1,343.95,280.03,201.36,166.97,91.57,58.9,13.52,0.99,-0.04,0.08,0.11,0.07,0.05,0.07,0.05,0.07,0.04,0.08,0.01,0.1,0.07,0.06,0.05,0.07,0.12,0.11,0.11,0.1,0.08,0.12,0.05,0.08,0.12,0.07,0.07
