ID,父ID,数据类型,数据地区,数据所属菜单,数据来源,数据描述,日期,更新时间,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012044726228848647,2012044721875161089,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-01,Fri Jul 03 15:06:00 CST 2026,,73.21,75.63,76.71,78.45,78.81,75.34,84.05,79.75,84.59,83.45,78.64,82.13,78.72,77.26,75.04,80.31,84.22,76.21,69.57,67.25,71.45,85.08,86.07,91.5,91.55,91.31,97.08,93.15,81.75,81.36,72.25,70.06,66.56,56.67,52.24,48.4,40.78,34.32,34.19,34.33,31.27,30.87,26.01,20.73,19.57,14.65,8.39,11.68,10.86,11.73,13.0,15.16,15.43,16.09,15.1,19.53,20.33,19.78,19.66,22.85,23.51,24.03,22.6,22.27,24.07,26.32,26.56,26.53,26.99,27.31,29.24,31.8,29.6,30.05,29.5,32.46,32.03,28.51,31.18,33.76,33.79,41.34,38.89,40.69,46.5,43.56,45.75,38.72,38.92,51.72,44.9,42.69,51.92,51.81,51.62,48.93
2012044818981687303,2012044814493782018,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-02,Fri Jul 03 15:06:09 CST 2026,,57.25,56.57,55.28,53.32,45.37,39.07,34.59,31.27,27.3,25.2,27.37,28.24,26.42,27.98,27.96,24.86,24.84,27.37,32.32,31.35,31.04,33.5,37.19,36.49,38.11,37.36,40.49,40.88,42.26,42.43,37.96,38.13,31.89,26.16,22.17,21.01,21.54,17.06,17.4,20.06,21.65,19.66,17.65,17.32,18.55,20.36,16.13,15.19,23.5,22.87,24.08,25.57,25.6,27.07,25.68,23.98,24.44,19.73,22.05,22.35,20.88,21.77,17.57,15.92,19.11,16.09,16.66,15.76,15.26,20.07,21.17,21.16,19.86,21.6,21.51,20.95,19.32,19.14,17.45,13.68,7.89,5.19,4.77,3.82,3.2,2.58,2.05,1.6,1.21,1.02,0.4,0.2,0.41,1.05,1.46,1.07
2012044896161075206,2012044891719307265,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-03,Fri Jul 03 15:06:17 CST 2026,,0.61,0.61,0.34,0.15,0.22,0.07,0.14,0.06,0.08,0.28,0.2,0.7,0.31,0.35,0.0,0.05,0.13,0.33,0.32,0.14,0.08,0.02,0.04,0.02,0.0,0.02,0.01,0.01,0.01,0.07,0.05,0.05,0.14,0.21,0.23,0.26,0.23,0.07,0.18,0.07,0.14,0.15,0.1,0.17,0.13,0.07,-0.04,-0.03,-0.04,-0.04,-0.04,-0.03,-0.09,0.05,0.03,0.15,0.03,0.06,0.0,-0.03,-0.04,0.05,0.18,0.44,0.59,1.53,2.97,3.92,6.32,8.01,9.3,9.48,10.62,13.15,14.0,16.98,16.6,17.1,18.81,18.96,21.5,22.33,21.9,22.91,22.07,21.22,24.65,23.34,25.43,27.16,29.22,31.31,38.99,43.56,49.82,48.66
2012044976154841094,2012044971721461761,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-04,Fri Jul 03 15:06:25 CST 2026,,46.81,48.26,43.09,40.9,42.2,42.82,50.25,43.89,42.68,38.32,36.28,49.88,41.35,38.01,40.77,36.65,29.85,24.54,15.51,12.12,12.4,12.84,12.61,11.7,9.96,12.97,5.12,7.34,9.3,9.71,9.06,10.17,6.38,5.26,8.05,6.82,4.84,1.85,1.23,3.12,3.12,0.05,0.12,0.1,0.12,0.02,0.16,0.13,-0.01,0.15,0.07,0.18,1.25,0.79,0.63,0.73,4.25,5.77,3.68,4.27,1.46,1.36,2.53,2.64,2.97,2.05,2.51,2.72,2.46,4.37,2.99,3.09,2.51,2.12,2.32,1.92,2.97,2.01,1.86,1.26,2.95,3.46,2.26,2.55,1.52,1.05,1.24,0.86,0.93,1.34,1.65,2.2,3.25,2.25,1.24,3.5
2012045051912359942,2012045047525117954,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-05,Fri Jul 03 15:06:33 CST 2026,,7.59,6.34,3.4,6.76,10.11,12.91,12.45,14.32,14.98,17.32,19.41,22.92,24.28,25.77,30.48,28.95,29.99,31.86,35.7,35.12,35.71,34.26,39.06,38.71,32.89,35.12,34.34,30.6,33.38,35.56,24.86,20.69,15.68,9.64,5.85,4.74,4.98,4.75,4.13,5.39,6.36,6.38,6.38,10.52,11.48,13.7,15.53,18.95,20.9,17.97,19.96,23.43,25.74,22.48,20.03,21.08,23.48,20.8,21.52,15.94,17.5,18.92,14.69,14.28,10.29,8.01,6.66,7.69,5.95,5.07,4.78,5.08,5.5,5.82,7.29,8.63,9.09,11.04,10.87,11.16,12.3,14.13,11.18,8.31,9.03,8.71,8.81,5.32,5.97,7.41,5.63,4.05,4.21,4.53,2.83,3.73
2012045128076726279,2012045123643346945,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-06,Fri Jul 03 15:06:41 CST 2026,,4.0,4.8,5.4,6.92,5.89,5.67,5.11,3.1,1.99,1.14,1.43,1.02,1.38,0.66,-0.03,-0.03,-0.02,0.01,0.02,0.66,2.97,6.69,7.9,9.29,10.32,12.92,22.48,17.64,17.14,18.43,20.09,23.06,23.38,29.24,30.21,34.03,28.14,31.66,25.0,17.97,18.1,15.38,14.87,20.32,21.42,21.6,28.55,37.52,41.71,44.66,49.46,62.75,71.7,82.22,75.56,71.95,73.98,65.43,74.93,80.56,59.82,64.8,66.23,84.6,87.45,72.19,71.07,78.28,78.89,82.05,85.56,89.42,81.53,88.8,83.1,81.68,77.92,75.18,73.16,79.87,80.78,77.45,79.2,87.72,85.4,93.24,100.02,99.75,100.39,104.69,105.77,108.55,106.32,105.83,107.49,106.72
2012045203628724227,2012045199258259457,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-07,Fri Jul 03 15:06:49 CST 2026,,99.9,95.51,84.83,84.58,84.83,81.8,75.3,72.32,75.55,78.47,76.79,72.27,68.04,72.89,76.18,74.47,71.82,75.01,80.42,82.04,84.21,80.85,81.73,83.92,87.09,86.55,89.75,92.9,87.74,85.22,90.98,75.54,72.27,62.22,58.23,48.05,35.05,23.18,27.12,35.28,37.52,32.15,38.1,36.48,39.51,43.42,41.3,44.23,58.32,51.68,54.93,52.8,53.87,60.4,53.84,55.16,56.83,55.05,56.38,48.84,45.4,48.53,49.97,48.25,48.87,49.04,50.64,45.68,43.58,39.89,35.78,38.58,42.51,43.43,39.98,42.3,45.28,50.26,53.09,57.1,48.68,38.57,33.95,39.42,46.23,42.17,42.15,46.25,52.23,58.8,68.09,69.45,80.88,75.65,78.11,73.13
2012045279398825990,2012045274961252354,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-08,Fri Jul 03 15:06:58 CST 2026,,66.59,65.54,69.99,71.03,75.26,67.91,64.85,60.56,68.84,71.43,65.7,68.16,72.5,67.4,61.19,48.81,32.08,28.66,38.96,38.34,35.01,30.17,25.96,28.02,24.18,20.11,16.38,22.3,20.24,19.38,18.01,18.2,22.66,22.85,23.1,22.41,18.37,12.11,10.28,9.59,9.56,6.88,6.42,7.3,5.11,4.92,5.04,5.91,3.22,3.73,2.86,2.44,2.64,5.2,5.09,3.46,1.77,2.31,3.22,2.19,2.1,1.66,2.68,1.62,0.82,0.8,1.65,1.06,0.34,0.32,0.09,0.08,0.05,0.11,0.24,0.24,0.25,0.32,0.33,0.23,0.13,0.07,0.07,0.0,0.13,-0.05,0.06,-0.03,0.39,0.89,2.28,1.9,1.72,2.32,2.24,2.78
2012045355198287878,2012045350823628802,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-09,Fri Jul 03 15:07:06 CST 2026,,3.56,3.22,2.91,2.92,3.53,6.85,6.98,10.17,13.54,18.89,22.16,25.76,28.84,31.49,30.45,30.85,29.22,32.57,33.96,37.12,42.39,40.73,32.98,27.1,23.01,26.33,28.36,25.3,28.02,32.23,37.31,37.23,33.31,36.1,32.39,30.37,32.68,32.51,31.0,22.81,12.98,12.6,10.49,10.86,13.12,10.65,13.76,14.81,20.46,23.01,36.32,49.36,59.8,67.56,65.48,76.62,80.63,70.66,69.94,81.54,70.48,63.94,64.21,65.36,63.68,61.18,52.87,54.03,64.0,65.75,62.72,58.43,66.14,62.73,69.71,70.01,72.42,60.5,57.02,64.51,67.58,66.81,68.06,77.1,83.05,94.22,96.61,100.44,98.13,85.82,94.02,93.75,93.46,92.07,102.96,109.32
2012045431035498501,2012045426442735617,实际发布电力(MW),江南分区,江苏省交易中心数据-实际统调风光情况,风力,,2026-01-10,Fri Jul 03 15:07:14 CST 2026,,107.58,108.05,103.1,102.41,109.3,106.09,107.08,107.03,112.5,108.72,112.01,115.52,122.11,118.5,112.34,111.99,107.99,111.04,110.49,107.42,107.97,109.56,105.72,108.35,108.49,109.97,106.44,106.7,112.92,106.85,105.02,100.63,89.3,84.95,81.58,83.78,83.33,65.65,63.86,51.51,50.21,61.77,53.88,50.35,60.39,56.95,54.44,58.93,75.17,65.43,56.88,53.15,54.01,63.03,66.1,62.97,72.38,68.84,82.77,89.18,81.4,96.08,96.9,105.97,93.6,83.08,88.28,94.24,86.55,84.65,86.99,89.22,78.28,75.03,70.33,65.71,67.17,69.28,74.95,69.46,68.0,76.52,80.29,69.55,67.67,65.51,62.12,58.23,58.97,55.14,49.77,45.4,46.04,45.2,47.01,43.95
