ID,父ID,数据类型,数据地区,数据所属菜单,数据来源,数据描述,日期,更新时间,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012044697082630148,2012044686185828353,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-01,Tue Jan 20 11:19:20 CST 2026,,11743.8,11506.23,11276.33,11057.69,10866.66,10708.91,10558.37,10432.49,10334.39,10253.77,10178.87,10110.86,10017.97,9924.15,9820.22,9715.9,9653.17,9620.93,9608.75,9598.53,9557.33,9489.56,9413.68,9346.71,9275.12,9182.48,9088.22,8996.17,8821.05,8603.65,8396.66,8168.21,7949.79,7721.57,7500.74,7287.66,7057.93,6847.46,6635.61,6433.0,6243.66,6093.07,5955.67,5839.29,5778.17,5762.43,5738.11,5750.69,5817.92,5908.62,6007.06,6114.73,6218.87,6321.29,6424.31,6526.96,6600.97,6672.37,6750.91,6816.81,6884.88,6948.11,7014.13,7096.27,7196.17,7311.81,7443.22,7600.56,7781.74,7985.85,8180.61,8369.64,8581.41,8798.64,9022.94,9256.05,9511.73,9787.75,10061.81,10336.87,10604.69,10874.8,11139.38,11418.98,11681.63,11944.37,12209.14,12455.86,12711.31,12992.05,13276.83,13564.58,13856.06,14132.38,14385.08,14718.65
2012044790204567556,2012044781128093698,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-02,Tue Jan 20 11:19:39 CST 2026,,15011.13,15264.95,15511.09,15746.48,15992.66,16225.66,16453.46,16681.08,16866.41,17036.74,17203.4,17367.82,17482.23,17597.78,17689.33,17773.74,17832.91,17870.16,17899.09,17920.8,17898.77,17862.41,17811.09,17749.28,17673.36,17553.97,17442.4,17307.91,17155.58,16974.82,16808.16,16619.65,16403.05,16193.13,15972.27,15750.55,15546.24,15339.82,15132.01,14924.45,14720.51,14518.73,14312.64,14107.08,13904.05,13695.23,13503.91,13299.6,13112.39,12932.37,12761.1,12607.78,12465.29,12324.91,12185.63,12038.02,11888.36,11738.44,11588.18,11436.12,11276.83,11114.92,10947.11,10782.42,10579.56,10357.11,10133.75,9920.53,9686.2,9466.58,9234.51,8991.08,8744.35,8497.72,8242.9,7996.33,7756.81,7526.63,7315.22,7101.85,6909.05,6721.21,6538.89,6348.17,6179.06,6031.64,5897.66,5761.48,5652.47,5560.97,5465.39,5375.29,5293.03,5210.37,5133.35,5081.32
2012044866167607301,2012044857120493569,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-03,Tue Jan 20 11:19:58 CST 2026,,4990.8,4927.61,4880.38,4840.62,4803.48,4767.71,4737.03,4705.2,4679.57,4654.64,4632.76,4609.1,4577.11,4539.94,4498.9,4459.14,4403.65,4339.53,4273.15,4198.65,4118.93,4031.46,3942.17,3846.78,3766.89,3695.45,3630.08,3567.27,3502.43,3438.2,3378.14,3306.68,3220.17,3126.67,3029.98,2937.23,2832.34,2732.29,2634.64,2542.69,2463.71,2402.63,2344.37,2291.93,2247.39,2202.63,2156.95,2106.9,2053.99,2000.21,1946.89,1898.66,1851.11,1804.3,1758.93,1715.5,1669.47,1623.7,1577.96,1537.64,1501.89,1472.02,1445.08,1416.81,1402.24,1396.68,1394.53,1404.15,1425.68,1455.05,1489.32,1524.66,1573.72,1633.22,1695.34,1763.65,1841.83,1930.78,2019.74,2100.22,2185.81,2272.59,2361.86,2454.57,2543.45,2630.45,2720.44,2807.86,2888.1,2960.98,3033.36,3094.9,3138.13,3163.12,3184.49,3197.08
2012044947373527042,2012044938259304449,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-04,Tue Jan 20 11:20:18 CST 2026,,3163.78,3144.22,3126.25,3099.25,3056.69,2999.57,2931.5,2861.07,2767.58,2665.41,2559.85,2449.22,2338.7,2233.29,2128.48,2028.6,1942.51,1868.51,1799.89,1736.76,1682.77,1634.55,1589.72,1547.78,1524.35,1511.87,1503.19,1488.46,1475.43,1467.08,1463.03,1464.69,1461.7,1456.03,1450.36,1450.86,1458.19,1474.89,1494.69,1508.84,1531.46,1555.47,1583.56,1612.62,1647.0,1688.53,1730.54,1774.39,1829.88,1897.99,1967.96,2045.92,2135.18,2235.3,2328.27,2433.26,2540.48,2648.84,2757.46,2876.07,2993.38,3110.26,3231.94,3348.5,3464.12,3578.53,3693.05,3811.34,3932.03,4049.74,4165.54,4280.08,4381.01,4470.85,4560.14,4642.83,4716.1,4783.77,4847.46,4899.71,4926.95,4933.95,4939.27,4937.92,4915.31,4887.22,4863.97,4834.1,4798.41,4768.97,4738.79,4702.82,4669.12,4632.99,4593.79,4557.52
2012045023193960453,2012045014130069506,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-05,Tue Jan 20 11:20:37 CST 2026,,2028.11,2162.76,2312.31,2462.32,2633.47,2821.85,3011.38,3212.66,3427.96,3651.07,3885.67,4127.3,4363.46,4604.78,4839.61,5074.67,5304.51,5514.14,5720.78,5927.35,6083.91,6209.16,6335.25,6453.75,6549.1,6624.66,6708.76,6796.88,6843.5,6854.34,6844.56,6771.35,6683.83,6583.89,6496.42,6433.98,6410.52,6402.47,6452.67,6608.7,6677.22,6773.47,6880.59,6975.02,7087.76,7216.42,7324.0,7453.89,7590.72,7733.07,7917.58,8093.97,8235.07,8348.63,8458.54,8525.36,8519.49,8487.81,8440.49,8385.66,8250.19,8086.39,7911.85,7718.1,7504.34,7257.27,7010.3,6761.02,6534.04,6304.15,6073.05,5845.08,5602.86,5361.55,5132.58,4887.04,4642.62,4442.33,4204.14,3980.85,3767.08,3567.68,3365.6,3187.36,3002.64,2799.92,2633.41,2462.35,2316.77,2198.7,2090.08,2001.06,1934.16,1885.23,1786.5,1742.39
2012045098808872964,2012045089803702273,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-06,Tue Jan 20 11:20:55 CST 2026,,1759.3,1722.24,1684.14,1647.99,1627.3,1662.79,1543.8,1518.4,1504.93,1497.23,1483.63,1483.1,1485.31,1499.01,1508.91,1524.62,1547.81,1577.08,1614.85,1657.25,1708.17,1766.0,1827.97,1903.06,1983.06,2072.58,2165.68,2266.28,2352.83,2430.35,2519.21,2594.31,2631.53,2661.88,2692.82,2710.45,2704.55,2682.43,2663.57,2655.36,2690.69,2751.05,2817.25,2897.53,2997.88,3122.72,3248.8,3373.25,3510.93,3656.07,3806.29,3948.87,4092.42,4233.44,4372.62,4512.88,4650.88,4802.15,4960.51,5121.65,5265.88,5405.89,5548.15,5688.93,5791.59,5882.82,5979.57,6131.7,6310.77,6502.08,6687.14,6865.25,7072.56,7309.33,7553.1,7795.26,8017.62,8296.63,8598.67,8893.89,9132.47,9352.51,9563.44,9769.77,9936.48,10090.23,10244.16,10431.46,10539.66,10652.07,10753.37,10840.16,10854.04,10861.95,10852.82,10918.41
2012045175094874116,2012045166035177473,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-07,Tue Jan 20 11:21:15 CST 2026,,13466.99,13438.71,13406.53,13386.91,13353.11,13307.19,13255.38,13180.76,13105.38,13031.38,12955.49,12874.66,12770.41,12654.85,12535.78,12416.26,12254.4,12060.58,11852.84,11635.7,11368.17,11071.07,10762.23,10442.72,10128.7,9816.0,9500.61,9174.5,8840.03,8498.45,8163.18,7803.14,7443.11,7081.98,6718.78,6360.86,6009.49,5677.17,5376.03,5086.24,4869.65,4695.23,4531.12,4385.3,4251.67,4126.98,4011.72,3898.92,3801.6,3710.02,3627.67,3545.09,3464.24,3383.82,3308.71,3225.02,3142.58,3064.05,2987.36,2916.24,2837.48,2763.28,2691.11,2629.25,2585.1,2555.2,2531.78,2514.76,2510.11,2524.24,2550.21,2582.16,2622.25,2669.99,2725.24,2786.99,2842.84,2896.81,2947.08,2995.95,3045.23,3081.6,3116.43,3146.69,3174.93,3205.76,3245.76,3295.63,3333.98,3378.18,3427.2,3487.18,3526.12,3554.38,3560.53,3594.08
2012045250340687876,2012045241276796930,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-08,Tue Jan 20 11:21:37 CST 2026,,4045.87,4045.45,4046.42,4042.21,4020.9,3989.03,3957.24,3922.08,3858.51,3778.26,3708.9,3637.89,3557.76,3472.66,3398.5,3321.08,3256.32,3196.81,3134.73,3076.28,3024.6,2988.73,2955.33,2925.94,2895.41,2859.49,2820.44,2786.08,2740.47,2685.32,2632.41,2560.78,2483.83,2404.61,2322.11,2244.89,2156.08,2061.84,1978.18,1893.04,1836.28,1780.83,1726.8,1678.11,1638.68,1606.8,1577.15,1549.87,1526.52,1505.65,1485.36,1465.72,1440.36,1418.44,1393.95,1372.13,1339.48,1310.9,1276.91,1243.11,1205.76,1171.95,1145.23,1115.59,1087.34,1061.5,1037.58,1015.45,996.25,987.19,981.08,967.06,978.48,993.19,1016.27,1042.96,1077.98,1128.88,1181.21,1239.86,1319.05,1409.95,1513.92,1631.21,1763.71,1914.97,2069.95,2242.38,2430.59,2643.0,2866.62,3091.43,3319.56,3551.74,3754.22,4072.45
2012045326479888388,2012045317265002498,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-09,Tue Jan 20 11:21:59 CST 2026,,4039.08,4320.77,4609.85,4909.42,5179.86,5443.78,5706.16,5960.31,6216.04,6468.23,6731.25,7001.12,7274.69,7554.93,7845.21,8138.4,8403.61,8653.74,8897.25,9135.76,9381.87,9631.22,9881.73,10136.59,10427.31,10699.62,10972.46,11224.19,11437.6,11626.0,11821.83,11990.62,12131.58,12270.42,12391.44,12490.04,12471.33,12396.74,12314.89,12274.72,12288.03,12307.64,12329.32,12343.47,12413.01,12554.02,12696.93,12854.38,13016.24,13180.22,13351.7,13524.08,13693.11,13869.53,14032.43,14200.94,14380.66,14575.11,14775.82,14976.91,15203.73,15440.8,15676.53,15909.0,16183.7,16470.15,16744.87,17029.57,17331.93,17644.9,17955.39,18262.93,18569.95,18846.69,19120.97,19385.04,19605.74,19771.96,19930.43,20071.62,20147.7,20228.21,20300.11,20371.16,20420.47,20451.65,20477.36,20494.53,20473.11,20474.58,20477.45,20477.14,20472.27,20463.73,20501.03,20483.22
2012045401910251525,2012045392896692225,出清发布电力(MW),汇总,江苏省交易中心数据-统调风光功率预测,风力,,2026-01-10,Tue Jan 20 11:22:21 CST 2026,,20723.42,20630.74,20533.57,20452.79,20338.34,20218.64,20096.28,19971.0,19857.12,19749.73,19643.2,19528.97,19364.08,19169.75,18975.28,18791.83,18599.58,18425.18,18241.1,18086.47,17959.82,17850.04,17725.37,17617.81,17557.01,17463.33,17359.38,17210.76,17055.38,16899.14,16774.54,16678.92,16644.09,16641.05,16656.02,16733.39,16839.17,16961.74,17060.88,17131.6,17316.48,17494.99,17658.03,17797.54,17903.76,17990.51,18066.5,18125.52,18165.17,18194.39,18215.97,18260.85,18287.74,18286.57,18296.16,18296.13,18273.67,18229.6,18166.63,18090.0,17981.91,17873.39,17762.7,17664.96,17544.35,17389.3,17246.59,17094.49,16989.53,16920.67,16837.81,16753.51,16689.54,16627.29,16560.39,16517.05,16459.91,16391.45,16319.03,16211.78,16089.52,15952.87,15804.52,15664.61,15501.41,15336.29,15179.56,15002.1,14823.99,14654.81,14482.17,14341.98,14214.75,14066.0,13939.19,13868.75
